registro,nome_imagem,arquivo_png,hotspots,frames_colunas,frames_linhas,tem_paleta,tem_mascara_colisao,transform_flag
7,interface003,7_interface003.png,"[34, 0, 10, 10, 44, 0, 10, 10, 89, 36, 65, 12, 45, 12, 100, 12, 0, 24, 65, 12, 65, 48, 65, 12, 65, 24, 65, 12, 0, 48, 65, 12, 54, 0, 89, 12, 0, 36, 89, 12, 24, 10, 11, 9, 10, 0, 14, 18, 0, 0, 10, 18, 35, 10, 10, 10, 24, 0, 10, 10]",10,10,False,False,0
9,interface101,9_interface101.png,"[0, 0, 36, 36, 0, 36, 36, 36]",10,10,False,False,0
11,interface201,11_interface201.png,"[0, 0, 41, 44, 0, 44, 41, 44]",10,10,False,False,0
13,interface301,13_interface301.png,"[0, 0, 179, 30, 179, 0, 179, 34, 0, 30, 179, 62, 179, 34, 168, 42, 0, 92, 168, 42, 179, 76, 168, 59, 0, 0, 97, 30, 82, 0, 97, 30, 261, 0, 97, 34, 179, 0, 97, 34, 83, 30, 96, 62, 0, 30, 96, 62, 188, 105, 120, 13, 0, 0, 70, 30, 109, 0, 70, 30, 179, 0, 70, 34, 288, 0, 70, 34]",10,10,False,False,0
19,interface300,19_interface300.png,"[13, 7, 4, 7, 13, 0, 2, 7, 20, 0, 4, 7, 17, 14, 4, 7, 15, 0, 5, 7, 21, 7, 4, 7, 9, 13, 4, 7, 17, 7, 4, 7, 21, 14, 4, 7, 13, 14, 4, 7, 0, 13, 9, 9, 0, 0, 13, 13, 9, 14, 1, 1, 16, 8, 1, 2]",10,10,False,False,0
21,interface001,21_interface001.png,"[0, 0, 50, 32, 50, 0, 30, 32, 0, 0, 17, 32]",10,10,False,False,0
22,interface002,22_interface002.png,"[0, 0, 18, 23, 18, 0, 26, 29, 0, 23, 17, 20, 44, 0, 23, 29, 94, 53, 21, 17, 67, 0, 32, 24, 104, 27, 19, 17, 22, 29, 28, 24, 60, 54, 16, 20, 99, 0, 23, 27, 44, 54, 16, 20, 0, 43, 22, 28, 76, 53, 18, 16, 50, 29, 26, 25, 22, 53, 22, 20, 76, 27, 28, 26]",10,10,False,False,0
23,interface100,23_interface100.png,"[0, 73, 23, 11, 48, 11, 64, 10, 49, 21, 49, 18, 0, 21, 49, 18, 0, 39, 50, 19, 30, 61, 31, 18, 50, 49, 50, 11, 50, 39, 59, 10, 61, 61, 31, 18, 0, 11, 48, 10, 0, 58, 30, 15, 0, 0, 109, 11]",10,10,False,False,0
25,interface302,25_interface302.png,"[0, 0, 23, 11, 0, 11, 35, 11, 46, 44, 23, 11, 46, 0, 23, 11, 46, 33, 23, 11, 23, 0, 23, 11, 46, 22, 23, 11, 35, 11, 34, 11, 0, 22, 23, 11, 0, 33, 23, 11, 1, 55, 23, 11, 23, 44, 23, 11, 24, 55, 23, 11, 23, 22, 23, 11, 23, 33, 23, 11, 0, 44, 23, 11, 22, 121, 23, 11, 35, 110, 23, 11, 0, 121, 22, 11, 45, 121, 23, 11, 47, 55, 23, 11, 0, 66, 23, 11, 23, 66, 35, 11, 58, 66, 11, 11, 0, 110, 35, 11, 22, 88, 48, 11, 0, 88, 11, 11, 0, 77, 35, 11, 0, 99, 60, 11, 11, 88, 11, 11, 58, 77, 11, 11, 35, 77, 23, 11]",10,10,False,False,0
29,interface303,29_interface303.png,"[73, 80, 21, 10, 94, 80, 21, 10, 115, 133, 21, 10, 115, 143, 23, 10, 115, 153, 23, 10, 0, 227, 32, 10, 0, 177, 23, 10, 85, 227, 21, 10, 117, 110, 14, 13, 0, 110, 54, 57, 69, 110, 25, 57, 54, 110, 15, 57, 94, 160, 21, 10, 23, 177, 23, 10, 131, 227, 5, 8, 88, 167, 3, 8, 116, 227, 5, 8, 73, 167, 5, 8, 78, 167, 5, 8, 83, 167, 5, 8, 106, 227, 5, 8, 126, 227, 5, 8, 121, 227, 5, 8, 111, 227, 5, 8, 32, 70, 43, 10, 72, 90, 21, 10, 94, 130, 21, 10, 84, 100, 21, 10, 0, 60, 127, 10, 0, 187, 131, 10, 80, 207, 51, 10, 46, 177, 95, 10, 0, 70, 32, 10, 93, 90, 32, 10, 94, 150, 21, 10, 75, 70, 54, 10, 0, 50, 131, 10, 0, 207, 40, 10, 42, 217, 21, 10, 105, 217, 31, 10, 115, 80, 10, 10, 0, 0, 131, 10, 0, 90, 72, 10, 105, 100, 21, 10, 0, 30, 131, 10, 40, 207, 40, 10, 84, 217, 21, 10, 32, 227, 21, 10, 94, 140, 21, 10, 94, 120, 21, 10, 115, 123, 21, 10, 0, 80, 73, 10, 0, 40, 131, 10, 0, 167, 73, 10, 63, 217, 21, 10, 53, 227, 32, 10, 0, 10, 127, 10, 0, 20, 131, 10, 0, 100, 84, 10, 115, 163, 21, 10, 94, 110, 23, 10, 0, 217, 21, 10, 21, 217, 21, 10, 0, 197, 128, 10, 0, 100, 10, 10, 96, 227, 10, 10, 75, 227, 10, 10, 73, 110, 21, 12, 54, 110, 20, 12, 73, 155, 21, 12, 54, 155, 20, 12, 55, 30, 21, 10, 33, 0, 21, 10, 49, 30, 1, 1]",10,10,False,False,0
